"Rank","Equity%","Price","Zestimate","EstSpread","Beds","Baths","SqFt","PPSF","Type","Address","ZillowURL"
"40","0%","154900","154900","0","3","3","1260","123","House for sale","515 Summit Terrace Ct, Columbia, SC 29229","https://www.zillow.com/homedetails/515-Summit-Terrace-Ct-Columbia-SC-29229/71270977_zpid/"
"41","0%","299000","298900","-100","4","4","2438","123","House for sale","222 Sepia Ct, Columbia, SC 29229","https://www.zillow.com/homedetails/222-Sepia-Ct-Columbia-SC-29229/110229481_zpid/"
"42","0%","239500","239400","-100","3","2","1469","163","House for sale","103 Whitfield Ct, Columbia, SC 29229","https://www.zillow.com/homedetails/103-Whitfield-Ct-Columbia-SC-29229/11731411_zpid/"
"43","0%","195000","194900","-100","4","3","1908","102","House for sale","108 Malisa Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/108-Malisa-Dr-Columbia-SC-29229/55195677_zpid/"
"44","0%","190000","189900","-100","4","3","1336","142","House for sale","5711 Miramar Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/5711-Miramar-Dr-Columbia-SC-29203/11693774_zpid/"
"45","0%","189900","189800","-100","3","2","1118","170","House for sale","200 Kingston Trace Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/200-Kingston-Trace-Rd-Columbia-SC-29229/62990915_zpid/"
"46","0%","279750","279600","-150","5","4","2590","108","House for sale","272 Bassett Loop, Columbia, SC 29229","https://www.zillow.com/homedetails/272-Bassett-Loop-Columbia-SC-29229/71265970_zpid/"
"47","0%","159000","158900","-100","3","2","1066","149","House for sale","3717 Lochmore Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/3717-Lochmore-Dr-Columbia-SC-29209/11735122_zpid/"
"48","0%","275000","274800","-200","2","2","1044","263","House for sale","1024 Price Ave, Columbia, SC 29201","https://www.zillow.com/homedetails/1024-Price-Ave-Columbia-SC-29201/11675838_zpid/"
"49","0%","125000","124900","-100","2","1","864","145","House for sale","5222 Mauldin Ave, Columbia, SC 29203","https://www.zillow.com/homedetails/5222-Mauldin-Ave-Columbia-SC-29203/11691758_zpid/"
"50","0%","182300","182100","-200","3","3","1678","109","House for sale","74 Newport Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/74-Newport-Dr-Columbia-SC-29223/11728002_zpid/"
"51","0%","266000","265700","-300","4","3","2052","130","House for sale","1 Newcourt Pl, Columbia, SC 29229","https://www.zillow.com/homedetails/1-Newcourt-Pl-Columbia-SC-29229/11731868_zpid/"
"52","0%","169900","169700","-200","2","2","1092","156","House for sale","133 Heritage Village Ln, Columbia, SC 29212","https://www.zillow.com/homedetails/133-Heritage-Village-Ln-Columbia-SC-29212/52113947_zpid/"
"53","0%","232000","231700","-300","3","3","1715","135","House for sale","1817 Neptune Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/1817-Neptune-Dr-Columbia-SC-29209/11725378_zpid/"
"54","0%","230000","229700","-300","3","3","1450","159","Townhouse for sale","223 Northwood St, Columbia, SC 29201","https://www.zillow.com/homedetails/223-Northwood-St-Columbia-SC-29201/121971166_zpid/"
"55","0%","229900","229600","-300","3","2","1369","168","House for sale","2 Woodshaw Ct, Columbia, SC 29212","https://www.zillow.com/homedetails/2-Woodshaw-Ct-Columbia-SC-29212/11187985_zpid/"
"56","0%","227500","227200","-300","4","2","2456","93","House for sale","1925 Shadowood Dr, Columbia, SC 29212","https://www.zillow.com/homedetails/1925-Shadowood-Dr-Columbia-SC-29212/11192597_zpid/"
"57","0%","215000","214700","-300","3","2","1244","173","House for sale","1339 Bon Air Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/1339-Bon-Air-Dr-Columbia-SC-29203/11680653_zpid/"
